Run Fitness1 Solution1 Fitness2 Solution2
1 1480.14 014000002001011002 7.20659 014001000012009004
1 7.20659 014001000012009004 6646760000.0 003006000011000001
1 6646760000.0 003006000011000001 328.63 003000000011000001
1 328.63 003000000011000001 7.20659 014001000012009004
1 7.20659 014001000012009004 6927800000.0 014006002004009000
1 6927800000.0 014006002004009000 8839.9 014006002004011000
1 8839.9 014006002004011000 7.20659 014001000012009004
1 7.20659 014001000012009004 4368.38 013003002003003001
1 4368.38 013003002003003001 7.20659 014001000012009004
1 7.20659 014001000012009004 9.91468 002002000006011001
1 9.91468 002002000006011001 2507.03 002004000004000001
1 2507.03 002004000004000001 227.38 002004000000000001
1 227.38 002004000000000001 7.20659 014001000012009004
1 7.20659 014001000012009004 119.947 010000000001012004
1 119.947 010000000001012004 113.255 010000000000012004
1 113.255 010000000000012004 7.20659 014001000012009004
1 7.20659 014001000012009004 2434.21 010000000006000002
1 2434.21 010000000006000002 237.632 010000000011000002
1 237.632 010000000011000002 7.20659 014001000012009004
1 7.20659 014001000012009004 9924.35 005002000004000001
1 9924.35 005002000004000001 9195.4 005003000004000001
1 9195.4 005003000004000001 7.20659 014001000012009004
1 7.20659 014001000012009004 167499.9575 004001002005000001
1 167499.9575 004001002005000001 167499.9575 004001002005000001
1 167499.9575 004001002005000001 7.20659 014001000012009004
1 7.20659 014001000012009004 888928000.0 010002001011006001
1 888928000.0 010002001011006001 57.0546 010002000011006001
1 57.0546 010002000011006001 7.20659 014001000012009004
1 7.20659 014001000012009004 3223.08 002001000006006003
1 3223.08 002001000006006003 57.9406 005001000006006003
1 57.9406 005001000006006003 7.20659 014001000012009004
1 7.20659 014001000012009004 10236.6 001000000011010000
1 10236.6 001000000011010000 3529.07 001000000011010007
1 3529.07 001000000011010007 7.20659 014001000012009004
1 7.20659 014001000012009004 54.765 014000000011011004
1 54.765 014000000011011004 46.6167 002000000011011004
1 46.6167 002000000011011004 7.20659 014001000012009004
1 7.20659 014001000012009004 79.8839 001002002011000003
1 79.8839 001002002011000003 7.20659 014001000012009004
1 7.20659 014001000012009004 9.91468 002002000006011001
1 9.91468 002002000006011001 146.0941 010003000001011004
1 146.0941 010003000001011004 146.0941 010003000001011004
1 146.0941 010003000001011004 7.20659 014001000012009004
1 7.20659 014001000012009004 5059.345 006001000006012002
1 5059.345 006001000006012002 5059.345 006001000006012002
1 5059.345 006001000006012002 7.20659 014001000012009004
1 7.20659 014001000012009004 86.858 010001002011011001
1 86.858 010001002011011001 86.858 010001002011011001
1 86.858 010001002011011001 7.20659 014001000012009004
1 7.20659 014001000012009004 4599.65 001004002001000004
1 4599.65 001004002001000004 2016.24 001004001001000004
1 2016.24 001004001001000004 7.20659 014001000012009004
1 7.20659 014001000012009004 19.916 010001000001011001
1 19.916 010001000001011001 19.2099 010001000001011007
1 19.2099 010001000001011007 7.20659 014001000012009004
1 7.20659 014001000012009004 25.8118 001000000001000004
1 25.8118 001000000001000004 15.3261 001000000005000004
1 15.3261 001000000005000004 7.20659 014001000012009004
1 7.20659 014001000012009004 1045234033.0 010001001006000001
1 1045234033.0 010001001006000001 1045234033.0 010001001006000001
1 1045234033.0 010001001006000001 7.20659 014001000012009004
1 7.20659 014001000012009004 2486030000.0 007003000011000003
1 2486030000.0 007003000011000003 385430000.0 007003000011000005
1 385430000.0 007003000011000005 7.20659 014001000012009004
1 7.20659 014001000012009004 42.0267 004002000011000003
1 42.0267 004002000011000003 7.20659 014001000012009004
1 7.20659 014001000012009004 9.91468 002002000006011001
1 9.91468 002002000006011001 3564.96 002000000001006000
1 3564.96 002000000001006000 92.2519 002000000001010000
1 92.2519 002000000001010000 7.20659 014001000012009004
1 7.20659 014001000012009004 112.705 003003000010011001
1 112.705 003003000010011001 103.992 003006000010011001
1 103.992 003006000010011001 7.20659 014001000012009004
1 7.20659 014001000012009004 65.7632 005000000004011004
1 65.7632 005000000004011004 65.7632 005000000004011004
1 65.7632 005000000004011004 7.20659 014001000012009004
1 7.20659 014001000012009004 90.2275 010002001012007003
1 90.2275 010002001012007003 7.20659 014001000012009004
1 7.20659 014001000012009004 9.91468 002002000006011001
1 9.91468 002002000006011001 266.693 004000001011006004
1 266.693 004000001011006004 7.20659 014001000012009004
1 7.20659 014001000012009004 9.91468 002002000006011001
1 9.91468 002002000006011001 94198500.0 004006000004010004
1 94198500.0 004006000004010004 3865.41 004006000004010003
1 3865.41 004006000004010003 7.20659 014001000012009004
1 7.20659 014001000012009004 111.033 001000000011007001
1 111.033 001000000011007001 22.2752 015000000011007001
1 22.2752 015000000011007001 7.20659 014001000012009004
1 7.20659 014001000012009004 119.958 007002000001011001
1 119.958 007002000001011001 119.166 007002000001011005
1 119.166 007002000001011005 7.20659 014001000012009004
1 7.20659 014001000012009004 8225.41 002000000006011003
1 8225.41 002000000006011003 98.2293 002000000006011002
1 98.2293 002000000006011002 7.20659 014001000012009004
1 7.20659 014001000012009004 2409.11 005000000001000001
1 2409.11 005000000001000001 2293.19 005000000008000001
1 2293.19 005000000008000001 7.20659 014001000012009004
1 7.20659 014001000012009004 24311.8 004000000005010004
1 24311.8 004000000005010004 4052.57 004000000005000004
1 4052.57 004000000005000004 7.20659 014001000012009004
1 7.20659 014001000012009004 21692.7 010004000006011004
1 21692.7 010004000006011004 21692.7 010004000006011004
1 21692.7 010004000006011004 7.20659 014001000012009004
1 7.20659 014001000012009004 21.5335 001000000011000003
1 21.5335 001000000011000003 27.8969 001000000011000002
1 27.8969 001000000011000002 7.20659 014001000012009004
1 7.20659 014001000012009004 276.734 010001001001011003
1 276.734 010001001001011003 166.989 010000001001011003
1 166.989 010000001001011003 7.20659 014001000012009004
1 7.20659 014001000012009004 7097.92 002000000001010001
1 7097.92 002000000001010001 138.967 002004000001010001
1 138.967 002004000001010001 7.20659 014001000012009004
1 7.20659 014001000012009004 510.358 010003001006000004
1 510.358 010003001006000004 194.301 010003001007000004
1 194.301 010003001007000004 7.20659 014001000012009004
1 7.20659 014001000012009004 76.8377 010001000011000004
1 76.8377 010001000011000004 15.2543 010001000011002004
1 15.2543 010001000011002004 7.20659 014001000012009004
1 7.20659 014001000012009004 2550.38 010000001011002001
1 2550.38 010000001011002001 96.1616 012000001011002001
1 96.1616 012000001011002001 7.20659 014001000012009004
1 7.20659 014001000012009004 140.113 001000000000011004
1 140.113 001000000000011004 38.8141 019000000000011004
1 38.8141 019000000000011004 7.20659 014001000012009004
1 7.20659 014001000012009004 246599.0 005001000010007000
1 246599.0 005001000010007000 209.905 005001002010007000
1 209.905 005001002010007000 7.20659 014001000012009004
1 7.20659 014001000012009004 3500.37 001001000006007005
1 3500.37 001001000006007005 3287.51 001001000006007004
1 3287.51 001001000006007004 7.20659 014001000012009004
1 7.20659 014001000012009004 49.0908 002001000011011004
